0.000952381,0,33.55
0.000952381,5,33.617
0.000952381,10,33.456
0.000952381,20,33.483
0.000952381,30,33.591
0.000952381,40,33.604
0.000952381,50,33.631
0.000952381,60,33.913
0.000952381,70,34.181
0.000952381,80,34.49
0.0011764706,0,33.537
0.0011764706,5,33.579
0.0011764706,10,33.432
0.0011764706,20,33.463
0.0011764706,30,33.505
0.0011764706,40,33.768
0.0011764706,50,33.716
0.0011764706,60,34.032
0.0011764706,70,34.274
0.0011764706,80,34.632
0.0014285714,0,33.184
0.0014285714,5,33.193
0.0014285714,10,33.149
0.0014285714,20,33.228
0.0014285714,30,33.281
0.0014285714,40,33.333
0.0014285714,50,33.456
0.0014285714,60,33.579
0.0014285714,70,33.842
0.0014285714,80,34.254
0.0018181818,0,35.041
0.0018181818,5,35.076
0.0018181818,10,35.021
0.0018181818,20,35.11
0.0018181818,30,35.131
0.0018181818,40,35.214
0.0018181818,50,35.255
0.0018181818,60,35.483
0.0018181818,70,35.683
0.0018181818,80,36.152
0.0022222222,0,36.221
0.0022222222,5,36.232
0.0022222222,10,36.199
0.0022222222,20,36.266
0.0022222222,30,36.345
0.0022222222,40,36.451
0.0022222222,50,36.513
0.0022222222,60,36.686
0.0022222222,70,36.815
0.0022222222,80,37.331
0.0028571429,0,37.849
0.0028571429,5,37.897
0.0028571429,10,37.897
0.0028571429,20,37.941
0.0028571429,30,37.998
0.0028571429,40,38.107
0.0028571429,50,38.199
0.0028571429,60,38.387
0.0028571429,70,39.322
0.0028571429,80,39.179
0.004,0,40.469
0.004,5,40.516
0.004,10,40.491
0.004,20,40.612
0.004,30,40.687
0.004,40,40.734
0.004,50,40.872
0.004,60,41.116
0.004,70,41.319
0.004,80,41.964
0.005,0,43.956
0.005,5,44.009
0.005,10,43.939
0.005,20,44.119
0.005,30,44.27
0.005,40,44.867
0.005,50,44.526
0.005,60,44.661
0.005,70,45.294
0.005,80,42.312
0.0066666667,0,41.158
0.0066666667,5,41.291
0.0066666667,10,41.468
0.0066666667,20,41.845
0.0066666667,30,41.743
0.0066666667,40,42.215
0.0066666667,50,41.9
0.0066666667,60,42.132
0.0066666667,70,43.058
0.0066666667,80,41.338
0.01,0,46.93
0.01,5,47.359
0.01,10,48.159
0.01,20,46.483
0.01,30,47.873
0.01,40,48.029
0.01,50,49.423
0.01,60,47.845
0.01,70,48.552
0.01,80,52.031
0.02,0,76.633
0.02,5,77.937
0.02,10,82.319
0.02,20,86.675
0.02,30,85.296
0.02,40,85.128
0.02,50,81.562
0.02,60,83.669
0.02,70,76.139
0.02,80,87.682
0.0333333333,0,265.028
0.0333333333,5,260.872
0.0333333333,10,203.585
0.0333333333,20,200.219
0.0333333333,30,194.965
0.0333333333,40,180.976
0.0333333333,50,200.535
0.0333333333,60,269.833
0.0333333333,70,368.02
0.0333333333,80,287.711
